id,name,image_id
1,川崎フロンターレ,app/assets/images/kawasaki-image.png
2,ガンバ大阪,app/assets/images/gosaka-image.jpg
3,名古屋グランパス,app/assets/images/nagoya-image.png
4,セレッソ大阪,app/assets/images/cosaka-image.jpg
5,鹿島アントラーズ,app/assets/images/kashima-image.png
6,ＦＣ東京,app/assets/images/tokyo-image.png
7,柏レイソル,app/assets/images/kashiwa-image.jpg
8,サンフレッチェ広島,app/assets/images/hiroshima-image.jpg
9,横浜Ｆ・マリノス,app/assets/images/yokohamafm-image.jpg
10,浦和レッズ,app/assets/images/urawa-image.jpg
11,大分トリニータ,app/assets/images/ooita-image.jpg
12,北海道コンサドーレ札幌,app/assets/images/sapporo-image.png
13,サガン鳥栖,app/assets/images/tosu-image.jpg
14,ヴィッセル神戸,app/assets/images/kobe-image.jpg
15,横浜ＦＣ,app/assets/images/yokohamafc-image.jpg
16,清水エスパルス,app/assets/images/shimizu-image.png
17,ベガルタ仙台,app/assets/images/sendai-image.jpg
18,湘南ベルマーレ,app/assets/images/shonan-image.jpg
19,徳島ヴォルティス,app/assets/images/tokushima-image.jpg
20,アビスパ福岡,app/assets/images/fukuoka-image.jpg
